Waktu,Ping(ms),Download(Mbps),Upload(Mbps),PacketLoss(%),Jitter(ms),Status
2026-05-09 19:19:01,55.45,34.63,18.09,0.0,12.21,Stabil
2026-05-09 19:24:01,25.07,34.82,13.24,0.0,9.43,Stabil
2026-05-09 19:29:01,23.42,41.29,15.99,0.0,8.41,Stabil
2026-05-09 19:34:01,61.48,31.24,10.43,0.5,14.59,Stabil
2026-05-09 19:39:01,40.66,41.21,10.04,0.0,19.22,Stabil
2026-05-09 19:44:01,54.0,22.34,20.66,0.0,13.87,Stabil
2026-05-09 19:49:01,34.71,20.54,10.23,0.0,9.47,Stabil
2026-05-09 19:54:01,59.49,16.56,15.36,0.0,10.65,Stabil
2026-05-09 19:59:01,35.88,46.78,20.43,0.0,14.55,Stabil
2026-05-09 20:04:01,37.99,23.2,18.42,0.2,8.07,Stabil
2026-05-09 20:09:01,6.54,38.24,14.31,0.0,20.56,Stabil
2026-05-09 20:14:01,32.72,32.71,19.69,0.0,6.89,Stabil
2026-05-09 20:19:01,48.27,24.28,14.27,0.0,8.22,Stabil
2026-05-09 20:24:01,48.49,30.46,22.88,0.0,13.15,Stabil
2026-05-09 20:29:01,43.28,22.32,7.27,0.0,3.9,Stabil
2026-05-09 20:34:01,43.21,26.38,16.69,0.0,15.49,Stabil
2026-05-09 20:39:01,28.88,30.09,18.07,0.0,14.65,Stabil
2026-05-09 20:44:01,45.23,25.52,19.94,0.5,9.35,Stabil
2026-05-09 20:49:01,63.68,36.52,7.25,0.0,7.77,Stabil
2026-05-09 20:54:01,52.37,34.33,21.74,0.0,13.14,Stabil
2026-05-09 20:59:01,24.51,27.93,5.46,0.1,18.85,Stabil
2026-05-09 21:04:01,22.62,25.43,20.48,0.0,7.18,Stabil
2026-05-09 21:09:01,171.02,12.45,6.64,2.06,30.0,Tidak Stabil
2026-05-09 21:14:01,112.59,2.34,4.04,2.0,132.1,Tidak Stabil
2026-05-09 21:19:01,188.95,1.49,1.97,6.85,94.68,Tidak Stabil
2026-05-09 21:24:01,144.5,5.23,2.13,2.22,59.68,Tidak Stabil
2026-05-09 21:29:01,202.33,4.03,2.15,4.91,85.74,Tidak Stabil
2026-05-09 21:34:01,129.92,9.41,14.44,10.6,77.69,Tidak Stabil
2026-05-09 21:39:01,310.44,1.98,0.74,5.6,35.0,Tidak Stabil
2026-05-09 21:44:01,88.97,2.0,8.45,8.71,62.47,Tidak Stabil
2026-05-09 21:49:01,100.59,28.82,14.9,1.28,30.0,Tidak Stabil
2026-05-09 21:54:01,264.46,4.69,2.42,2.0,57.96,Tidak Stabil
2026-05-09 21:59:01,90.18,3.58,1.35,1.76,18.99,Tidak Stabil
2026-05-09 22:04:01,182.17,0.58,2.8,12.24,131.24,Tidak Stabil
2026-05-09 22:09:01,101.63,2.15,3.35,1.3,52.69,Tidak Stabil
2026-05-09 22:14:01,112.7,18.16,7.66,3.94,40.16,Tidak Stabil
2026-05-09 22:19:01,189.04,25.58,4.18,2.55,74.05,Tidak Stabil
2026-05-09 22:24:01,30.0,5.09,1.66,1.38,18.0,Tidak Stabil
2026-05-09 22:29:01,279.57,0.55,0.1,7.78,96.52,Tidak Stabil
2026-05-09 22:34:01,88.86,5.52,0.36,1.09,33.87,Tidak Stabil
2026-05-09 22:39:01,176.5,9.42,6.43,0.63,53.87,Tidak Stabil
2026-05-09 22:44:01,148.21,9.32,5.1,4.55,34.94,Tidak Stabil
2026-05-09 22:49:01,155.18,8.75,6.23,0.48,90.37,Tidak Stabil
2026-05-09 22:54:01,161.59,19.6,15.02,2.74,43.83,Tidak Stabil
2026-05-09 22:59:01,160.82,2.56,1.59,2.0,39.54,Tidak Stabil
2026-05-09 23:04:01,137.84,5.03,0.81,1.23,49.53,Tidak Stabil
2026-05-09 23:09:01,104.88,6.27,1.0,7.61,31.39,Tidak Stabil
2026-05-09 23:14:01,96.0,8.57,5.73,0.95,48.69,Tidak Stabil
2026-05-09 23:19:01,282.79,6.2,1.99,13.92,87.32,Tidak Stabil
2026-05-09 23:24:01,75.55,9.36,13.33,5.84,32.97,Tidak Stabil
2026-05-09 23:29:01,122.42,6.94,0.4,1.71,25.24,Tidak Stabil
2026-05-09 23:34:01,138.08,10.2,6.27,0.0,67.32,Tidak Stabil
2026-05-09 23:39:01,176.86,1.73,1.13,11.02,100.03,Tidak Stabil
2026-05-09 23:44:01,136.23,9.11,4.43,11.73,62.15,Tidak Stabil
2026-05-09 23:49:01,125.65,3.37,1.0,1.85,59.68,Tidak Stabil
2026-05-09 23:54:01,58.35,1.45,2.07,3.71,18.0,Tidak Stabil
2026-05-09 23:59:01,121.28,13.31,14.03,1.17,70.04,Tidak Stabil
2026-05-10 00:04:01,127.87,2.19,5.65,2.0,54.02,Tidak Stabil
2026-05-10 00:09:01,210.41,2.49,2.13,7.38,120.03,Tidak Stabil
2026-05-10 00:14:01,171.45,11.84,11.94,1.45,49.26,Tidak Stabil
2026-05-10 00:19:01,205.94,9.19,3.31,6.7,121.04,Tidak Stabil
2026-05-10 00:24:01,75.72,2.28,0.1,2.15,22.35,Tidak Stabil
2026-05-10 00:29:01,123.08,10.69,10.32,2.0,49.24,Tidak Stabil
2026-05-10 00:34:01,194.69,17.16,11.84,0.84,47.79,Tidak Stabil
2026-05-10 00:39:01,224.8,9.68,2.27,8.99,71.22,Tidak Stabil
2026-05-10 00:44:01,22.25,34.64,12.86,0.0,17.55,Stabil
2026-05-10 00:49:01,41.03,25.22,22.97,0.0,8.65,Stabil
2026-05-10 00:54:01,20.32,24.45,20.26,0.0,14.82,Stabil
2026-05-10 00:59:01,49.6,39.09,24.05,0.0,6.13,Stabil
2026-05-10 01:04:01,16.33,13.77,26.98,0.0,10.9,Stabil
2026-05-10 01:09:01,74.65,26.38,18.28,0.1,10.55,Stabil
2026-05-10 01:14:01,45.89,31.85,19.34,0.0,11.25,Stabil
2026-05-10 01:19:01,17.9,17.27,29.32,0.0,5.05,Stabil
2026-05-10 01:24:01,33.11,28.45,24.57,0.0,7.06,Stabil
2026-05-10 01:29:01,33.0,36.57,14.5,0.0,4.94,Stabil
2026-05-10 01:34:01,10.18,34.59,18.44,0.0,16.35,Stabil
2026-05-10 01:39:01,22.72,15.98,16.44,0.0,8.77,Stabil
2026-05-10 01:44:01,30.91,10.0,17.67,0.2,15.4,Stabil
2026-05-10 01:49:01,7.33,19.86,21.1,0.5,8.66,Stabil
2026-05-10 01:54:01,18.4,48.59,18.36,0.0,6.09,Stabil
2026-05-10 01:59:01,45.11,27.08,18.93,0.0,9.84,Stabil
2026-05-10 02:04:01,26.85,22.3,18.64,0.0,16.94,Stabil
2026-05-10 02:09:01,5.0,11.37,10.56,0.0,8.29,Stabil
2026-05-10 02:14:01,29.43,16.74,13.33,0.0,8.19,Stabil
2026-05-10 02:19:01,33.96,31.88,13.36,0.0,13.61,Stabil
2026-05-10 02:24:01,18.06,23.8,20.94,0.0,8.25,Stabil
2026-05-10 02:29:01,31.56,34.51,12.36,0.1,8.2,Stabil
2026-05-10 02:34:01,52.39,19.35,21.7,0.0,1.65,Stabil
2026-05-10 02:39:01,61.47,18.07,13.1,0.0,2.22,Stabil
2026-05-10 02:44:01,44.09,17.76,28.53,0.0,1.23,Stabil
2026-05-10 02:49:01,26.83,35.77,17.81,0.0,8.18,Stabil
2026-05-10 02:54:01,34.15,30.46,7.74,0.0,6.89,Stabil
2026-05-10 02:59:01,28.73,17.69,18.6,0.0,10.98,Stabil
2026-05-10 03:04:01,20.32,31.27,7.78,0.0,7.65,Stabil
2026-05-10 03:09:01,42.9,40.96,27.42,0.0,1.0,Stabil
2026-05-10 03:14:01,15.81,23.0,18.16,0.0,8.26,Stabil
2026-05-10 03:19:01,37.98,16.53,21.49,0.0,5.38,Stabil
2026-05-10 03:24:01,14.72,20.19,24.32,0.0,20.41,Stabil
2026-05-10 03:29:01,30.43,28.76,19.07,0.0,7.12,Stabil
2026-05-10 03:34:01,94.27,0.46,2.79,0.88,38.64,Tidak Stabil
2026-05-10 03:39:01,158.43,28.4,5.87,3.79,67.74,Tidak Stabil
2026-05-10 03:44:01,159.06,1.28,3.39,2.0,119.32,Tidak Stabil
2026-05-10 03:49:01,156.65,20.34,9.89,0.33,61.84,Tidak Stabil
2026-05-10 03:54:01,223.58,7.22,3.59,6.19,103.99,Tidak Stabil
2026-05-10 03:59:01,105.04,3.87,2.07,0.05,18.78,Tidak Stabil
2026-05-10 04:04:01,247.92,6.82,1.88,6.14,111.6,Tidak Stabil
2026-05-10 04:09:01,195.29,2.84,1.35,6.76,91.66,Tidak Stabil
2026-05-10 04:14:01,73.24,3.03,1.93,1.57,18.0,Tidak Stabil
2026-05-10 04:19:01,246.75,0.29,2.4,11.56,87.47,Tidak Stabil
2026-05-10 04:24:01,248.6,7.06,0.97,5.96,35.0,Tidak Stabil
2026-05-10 04:29:01,92.18,20.72,13.32,5.43,37.44,Tidak Stabil
2026-05-10 04:34:01,80.14,1.69,0.75,0.0,18.0,Tidak Stabil
2026-05-10 04:39:01,149.37,10.72,6.8,9.02,24.79,Tidak Stabil
2026-05-10 04:44:01,211.03,6.92,4.43,2.0,87.22,Tidak Stabil
2026-05-10 04:49:01,131.96,12.11,5.81,3.11,80.57,Tidak Stabil
2026-05-10 04:54:01,87.17,14.06,5.49,4.88,32.33,Tidak Stabil
2026-05-10 04:59:01,171.9,22.78,4.55,5.84,50.15,Tidak Stabil
2026-05-10 05:04:01,123.38,6.9,7.42,2.0,22.37,Tidak Stabil
2026-05-10 05:09:01,88.84,6.73,1.28,1.4,34.75,Tidak Stabil
2026-05-10 05:14:01,131.59,5.67,2.14,2.39,18.02,Tidak Stabil
2026-05-10 05:19:01,133.36,9.84,9.36,10.33,59.77,Tidak Stabil
2026-05-10 05:24:01,130.29,18.05,13.13,5.05,53.65,Tidak Stabil
2026-05-10 05:29:01,180.81,4.37,3.81,4.73,96.06,Tidak Stabil
2026-05-10 05:34:01,168.37,3.44,2.01,11.27,40.32,Tidak Stabil
2026-05-10 05:39:01,115.21,5.87,2.97,16.65,75.77,Tidak Stabil
2026-05-10 05:44:01,202.05,5.35,2.07,12.84,41.76,Tidak Stabil
2026-05-10 05:49:01,165.45,4.49,3.61,3.89,88.99,Tidak Stabil
2026-05-10 05:54:01,65.5,2.64,1.93,1.53,27.11,Tidak Stabil
2026-05-10 05:59:01,230.45,15.54,6.22,3.87,30.0,Tidak Stabil
2026-05-10 06:04:01,95.0,20.54,13.94,3.03,78.59,Tidak Stabil
2026-05-10 06:09:01,112.76,3.32,3.65,0.24,18.0,Tidak Stabil
2026-05-10 06:14:01,151.95,6.24,1.69,5.16,64.93,Tidak Stabil
2026-05-10 06:19:01,103.68,26.11,8.59,3.03,61.17,Tidak Stabil
2026-05-10 06:24:01,215.12,5.15,2.91,4.22,94.7,Tidak Stabil
2026-05-10 06:29:01,168.84,20.96,8.55,3.38,42.82,Tidak Stabil
2026-05-10 06:34:01,241.04,10.81,8.93,0.05,65.16,Tidak Stabil
2026-05-10 06:39:01,165.46,0.2,1.32,2.0,37.48,Tidak Stabil
2026-05-10 06:44:01,140.42,14.23,8.92,6.93,34.72,Tidak Stabil
2026-05-10 06:49:01,159.84,7.89,16.52,2.77,51.02,Tidak Stabil
2026-05-10 06:54:01,90.94,1.92,1.84,0.96,33.71,Tidak Stabil
2026-05-10 06:59:01,114.93,14.03,17.99,2.5,44.72,Tidak Stabil
2026-05-10 07:04:01,185.77,17.93,5.01,3.79,61.44,Tidak Stabil
2026-05-10 07:09:01,239.24,5.59,3.57,5.86,124.52,Tidak Stabil
2026-05-10 07:14:01,96.92,4.22,3.98,0.87,38.07,Tidak Stabil
2026-05-10 07:19:01,130.69,12.61,7.4,2.27,64.41,Tidak Stabil
2026-05-10 07:24:01,87.05,29.79,6.61,4.2,58.56,Tidak Stabil
2026-05-10 07:29:01,192.09,4.3,2.92,3.91,77.28,Tidak Stabil
2026-05-10 07:34:01,110.0,6.33,3.31,2.0,57.95,Tidak Stabil
2026-05-10 07:39:01,97.86,5.38,3.48,0.79,51.18,Tidak Stabil
2026-05-10 07:44:01,187.88,0.2,1.14,11.2,90.38,Tidak Stabil
2026-05-10 07:49:01,226.44,25.66,5.87,2.24,63.89,Tidak Stabil
2026-05-10 07:54:01,171.73,18.27,7.54,0.0,54.09,Tidak Stabil
2026-05-10 07:59:01,232.44,0.2,3.72,2.0,74.13,Tidak Stabil
2026-05-10 08:04:01,128.42,6.02,0.13,12.43,63.76,Tidak Stabil
2026-05-10 08:09:01,157.89,19.34,9.38,0.39,72.93,Tidak Stabil
2026-05-10 08:14:01,72.72,4.67,0.41,0.45,42.81,Tidak Stabil
2026-05-10 08:19:01,47.71,37.78,25.29,0.0,9.55,Stabil
2026-05-10 08:24:01,50.45,29.91,16.45,0.0,9.02,Stabil
2026-05-10 08:29:01,35.73,22.5,17.21,0.2,4.83,Stabil
2026-05-10 08:34:01,36.18,12.01,23.5,0.0,11.73,Stabil
2026-05-10 08:39:01,5.0,51.5,12.77,0.0,12.02,Stabil
2026-05-10 08:44:01,51.62,19.68,21.68,0.5,4.73,Stabil
2026-05-10 08:49:01,39.15,22.79,24.44,0.0,9.18,Stabil
2026-05-10 08:54:01,48.05,31.97,18.9,0.0,11.82,Stabil
2026-05-10 08:59:01,49.44,30.46,15.31,0.2,10.34,Stabil
2026-05-10 09:04:01,51.58,37.5,21.83,0.0,4.28,Stabil
2026-05-10 09:09:01,23.43,30.37,24.03,0.0,8.74,Stabil
2026-05-10 09:14:01,59.21,31.63,16.54,0.0,14.82,Stabil
2026-05-10 09:19:01,50.7,32.56,22.33,0.0,13.18,Stabil
2026-05-10 09:24:01,32.75,29.0,16.96,0.0,10.08,Stabil
2026-05-10 09:29:01,15.83,14.85,12.69,0.0,17.76,Stabil
2026-05-10 09:34:01,25.42,17.42,27.85,0.0,15.05,Stabil
2026-05-10 09:39:01,5.0,22.54,18.35,0.0,15.63,Stabil
2026-05-10 09:44:01,14.16,14.84,24.14,0.0,22.2,Stabil
2026-05-10 09:49:01,45.2,32.6,16.48,0.2,11.96,Stabil
2026-05-10 09:54:01,23.69,25.75,7.84,0.0,9.51,Stabil
2026-05-10 09:59:01,49.56,23.06,6.53,0.0,11.98,Stabil
2026-05-10 10:04:01,20.16,35.53,12.11,0.0,8.88,Stabil
2026-05-10 10:09:01,20.46,32.41,29.08,0.0,11.11,Stabil
2026-05-10 10:14:01,11.11,31.52,17.88,0.0,12.76,Stabil
2026-05-10 10:19:01,26.32,28.51,20.83,0.0,10.7,Stabil
2026-05-10 10:24:01,35.73,28.32,13.79,0.0,6.69,Stabil
2026-05-10 10:29:01,52.24,25.59,16.35,0.0,13.76,Stabil
2026-05-10 10:34:01,234.16,2.6,4.73,4.69,92.18,Tidak Stabil
2026-05-10 10:39:01,62.63,1.36,2.11,1.77,41.21,Tidak Stabil
2026-05-10 10:44:01,215.11,27.36,1.32,2.09,81.27,Tidak Stabil
2026-05-10 10:49:01,31.01,2.05,3.44,2.71,26.7,Tidak Stabil
2026-05-10 10:54:01,122.11,8.8,1.0,8.69,25.19,Tidak Stabil
2026-05-10 10:59:01,65.1,3.56,1.03,1.41,18.0,Tidak Stabil
2026-05-10 11:04:01,215.44,9.29,0.24,3.07,105.85,Tidak Stabil
2026-05-10 11:09:01,297.06,2.24,1.92,10.23,87.28,Tidak Stabil
2026-05-10 11:14:01,115.42,20.41,4.43,1.89,83.5,Tidak Stabil
2026-05-10 11:19:01,79.26,5.46,2.41,0.22,30.25,Tidak Stabil
2026-05-10 11:24:01,194.01,5.95,2.11,12.91,62.52,Tidak Stabil
2026-05-10 11:29:01,202.39,4.33,1.77,10.83,113.7,Tidak Stabil
2026-05-10 11:34:01,111.82,9.77,5.48,1.54,56.57,Tidak Stabil
2026-05-10 11:39:01,114.78,1.51,0.1,1.55,72.39,Tidak Stabil
2026-05-10 11:44:01,203.82,4.0,1.42,9.86,71.84,Tidak Stabil
2026-05-10 11:49:01,254.15,4.67,2.48,5.33,114.76,Tidak Stabil
2026-05-10 11:54:01,106.54,13.53,3.82,3.24,55.91,Tidak Stabil
2026-05-10 11:59:01,199.38,3.94,3.23,13.56,101.73,Tidak Stabil
2026-05-10 12:04:01,95.0,16.45,7.14,0.71,64.14,Tidak Stabil
2026-05-10 12:09:01,91.89,3.62,0.1,0.35,32.84,Tidak Stabil
2026-05-10 12:14:01,131.6,4.31,3.13,8.25,32.6,Tidak Stabil
2026-05-10 12:19:01,186.55,4.37,1.49,5.55,75.93,Tidak Stabil
2026-05-10 12:24:01,110.63,7.63,1.0,9.74,53.99,Tidak Stabil
2026-05-10 12:29:01,170.1,1.04,1.58,0.15,18.0,Tidak Stabil
2026-05-10 12:34:01,238.33,5.91,1.96,7.3,73.25,Tidak Stabil
2026-05-10 12:39:01,89.47,2.52,2.19,0.0,37.75,Tidak Stabil
2026-05-10 12:44:01,115.27,15.78,1.0,4.07,33.52,Tidak Stabil
2026-05-10 12:49:01,88.6,3.19,3.51,0.0,18.0,Tidak Stabil
2026-05-10 12:54:01,99.97,3.87,2.94,0.19,18.0,Tidak Stabil
2026-05-10 12:59:01,167.63,9.39,1.09,10.97,93.98,Tidak Stabil
2026-05-10 13:04:01,84.38,13.01,2.23,7.19,46.6,Tidak Stabil
2026-05-10 13:09:01,178.89,9.81,7.74,2.96,27.51,Tidak Stabil
2026-05-10 13:14:01,113.81,5.58,1.35,0.81,39.24,Tidak Stabil
2026-05-10 13:19:01,151.07,6.49,0.86,2.31,130.04,Tidak Stabil
2026-05-10 13:24:01,172.65,9.52,12.21,3.15,44.5,Tidak Stabil
2026-05-10 13:29:01,35.58,39.64,28.8,0.0,12.69,Stabil
2026-05-10 13:34:01,51.09,25.08,12.96,0.2,7.03,Stabil
2026-05-10 13:39:01,15.78,14.1,6.31,0.0,8.89,Stabil
2026-05-10 13:44:01,30.85,30.46,22.89,0.0,11.52,Stabil
2026-05-10 13:49:01,38.99,34.7,13.12,0.0,12.45,Stabil
2026-05-10 13:54:01,46.02,33.3,25.04,0.0,11.63,Stabil
2026-05-10 13:59:01,35.45,27.25,17.48,0.0,7.36,Stabil
2026-05-10 14:04:01,43.8,37.91,18.13,0.0,21.5,Stabil
2026-05-10 14:09:01,51.13,12.81,18.47,0.0,13.77,Stabil
2026-05-10 14:14:01,40.72,38.32,22.04,0.0,8.75,Stabil
2026-05-10 14:19:01,34.71,34.63,12.44,0.5,8.95,Stabil
2026-05-10 14:24:01,22.24,23.36,21.53,0.0,13.6,Stabil
2026-05-10 14:29:01,56.7,23.88,11.34,0.0,9.33,Stabil
2026-05-10 14:34:01,35.22,21.72,21.89,0.5,2.75,Stabil
2026-05-10 14:39:01,18.41,24.37,13.08,0.1,18.63,Stabil
2026-05-10 14:44:01,29.01,29.8,23.6,0.0,18.41,Stabil
2026-05-10 14:49:01,23.74,37.33,14.56,0.0,7.24,Stabil
2026-05-10 14:54:01,73.37,23.49,19.11,0.0,19.31,Stabil
2026-05-10 14:59:01,63.3,41.05,23.74,0.0,13.89,Stabil
2026-05-10 15:04:01,26.73,21.45,17.98,0.0,15.58,Stabil
2026-05-10 15:09:01,25.26,35.58,22.09,0.0,4.29,Stabil
2026-05-10 15:14:01,32.1,22.27,6.8,0.0,12.4,Stabil
2026-05-10 15:19:01,14.52,29.52,21.46,0.0,16.11,Stabil
2026-05-10 15:24:01,43.73,26.19,12.24,0.0,15.99,Stabil
2026-05-10 15:29:01,5.94,17.97,20.09,0.0,10.7,Stabil
2026-05-10 15:34:01,8.47,30.59,17.11,0.0,15.16,Stabil
2026-05-10 15:39:01,32.08,25.05,20.41,0.0,4.15,Stabil
2026-05-10 15:44:01,5.0,27.78,28.63,0.0,14.5,Stabil
2026-05-10 15:49:01,46.67,30.84,11.41,0.0,13.83,Stabil
2026-05-10 15:54:01,53.4,27.2,16.78,0.0,11.78,Stabil
2026-05-10 15:59:01,31.68,21.28,12.46,0.0,17.46,Stabil
2026-05-10 16:04:01,30.93,27.83,13.52,0.0,10.51,Stabil
2026-05-10 16:09:01,18.03,13.9,11.84,0.1,10.33,Stabil
2026-05-10 16:14:01,42.74,15.5,14.83,0.0,4.45,Stabil
2026-05-10 16:19:01,43.51,17.33,32.49,0.5,1.92,Stabil
2026-05-10 16:24:01,52.47,22.12,13.14,0.1,15.09,Stabil
2026-05-10 16:29:01,74.95,25.64,18.91,0.0,5.86,Stabil
2026-05-10 16:34:01,36.29,19.42,5.0,0.0,7.76,Stabil
2026-05-10 16:39:01,65.15,42.16,11.79,0.0,10.1,Stabil
2026-05-10 16:44:01,24.08,26.54,26.25,0.0,6.86,Stabil
2026-05-10 16:49:01,44.04,22.33,14.94,0.0,10.61,Stabil
2026-05-10 16:54:01,59.37,30.58,16.49,0.1,8.2,Stabil
2026-05-10 16:59:01,42.67,30.54,17.81,0.0,14.42,Stabil
2026-05-10 17:04:01,33.83,26.56,37.16,0.0,15.19,Stabil
2026-05-10 17:09:01,42.58,38.48,14.59,0.5,10.57,Stabil
2026-05-10 17:14:01,13.43,35.35,13.99,0.0,15.94,Stabil
2026-05-10 17:19:01,43.05,34.12,16.85,0.0,12.42,Stabil
2026-05-10 17:24:01,22.3,22.85,24.18,0.1,8.67,Stabil
2026-05-10 17:29:01,42.25,23.63,14.91,0.1,5.22,Stabil
2026-05-10 17:34:01,41.35,44.5,11.59,0.0,10.96,Stabil
2026-05-10 17:39:01,38.62,32.17,18.03,0.0,4.69,Stabil
2026-05-10 17:44:01,41.42,26.5,23.91,0.0,10.16,Stabil
2026-05-10 17:49:01,31.0,42.34,19.34,0.1,10.97,Stabil
2026-05-10 17:54:01,29.7,30.71,16.23,0.0,19.04,Stabil
2026-05-10 17:59:01,40.26,25.57,6.27,0.0,1.0,Stabil
2026-05-10 18:04:01,25.88,38.38,17.86,0.0,12.73,Stabil
2026-05-10 18:09:01,22.4,23.48,15.54,0.0,18.08,Stabil
2026-05-10 18:14:01,30.17,37.74,27.13,0.0,9.48,Stabil
2026-05-10 18:19:01,257.38,1.74,2.49,3.28,120.63,Tidak Stabil
2026-05-10 18:24:01,93.92,15.15,4.96,9.33,69.77,Tidak Stabil
2026-05-10 18:29:01,150.5,6.0,4.29,8.54,48.23,Tidak Stabil
2026-05-10 18:34:01,229.8,5.67,0.18,11.34,93.18,Tidak Stabil
2026-05-10 18:39:01,136.02,11.2,3.1,10.32,42.83,Tidak Stabil
2026-05-10 18:44:01,120.12,11.62,6.25,4.17,41.01,Tidak Stabil
2026-05-10 18:49:01,213.19,5.28,1.61,10.96,103.46,Tidak Stabil
2026-05-10 18:54:01,199.99,12.31,12.3,1.37,61.11,Tidak Stabil
2026-05-10 18:59:01,84.17,10.66,5.6,6.94,39.54,Tidak Stabil
2026-05-10 19:04:01,33.78,4.9,2.85,0.42,41.42,Tidak Stabil
2026-05-10 19:09:01,145.97,11.37,6.32,7.21,65.91,Tidak Stabil
2026-05-10 19:14:01,175.64,24.14,10.33,2.51,66.76,Tidak Stabil
2026-05-10 19:19:01,184.06,2.32,0.1,1.66,55.6,Tidak Stabil
2026-05-10 19:24:01,305.79,1.22,3.83,15.0,54.57,Tidak Stabil
2026-05-10 19:29:01,141.31,10.52,3.63,13.51,41.83,Tidak Stabil
2026-05-10 19:34:01,271.35,5.53,5.44,8.43,81.83,Tidak Stabil
2026-05-10 19:39:01,83.55,2.4,1.76,0.81,24.61,Tidak Stabil
2026-05-10 19:44:01,177.89,0.2,2.68,3.04,58.17,Tidak Stabil
2026-05-10 19:49:01,83.22,10.14,3.99,7.96,69.13,Tidak Stabil
2026-05-10 19:54:01,125.09,10.92,3.88,6.42,29.05,Tidak Stabil
2026-05-10 19:59:01,99.4,5.44,1.82,2.91,34.09,Tidak Stabil
2026-05-10 20:04:01,168.05,2.37,0.1,2.0,109.94,Tidak Stabil
2026-05-10 20:09:01,180.02,0.2,3.34,6.07,89.4,Tidak Stabil
2026-05-10 20:14:01,95.07,2.39,1.09,1.51,22.52,Tidak Stabil
2026-05-10 20:19:01,30.0,3.12,0.81,1.08,36.15,Tidak Stabil
2026-05-10 20:24:01,183.04,14.82,15.13,3.07,76.17,Tidak Stabil
2026-05-10 20:29:01,95.0,20.96,10.17,2.85,60.17,Tidak Stabil
2026-05-10 20:34:01,193.21,2.14,0.1,5.42,165.34,Tidak Stabil
2026-05-10 20:39:01,138.15,17.12,3.86,3.19,39.41,Tidak Stabil
2026-05-10 20:44:01,128.84,17.07,14.36,4.76,28.01,Tidak Stabil
2026-05-10 20:49:01,129.8,7.48,1.62,9.15,92.81,Tidak Stabil
2026-05-10 20:54:01,110.0,2.27,0.1,12.68,132.57,Tidak Stabil
2026-05-10 20:59:01,141.18,5.45,5.36,3.68,41.13,Tidak Stabil
2026-05-10 21:04:01,30.38,34.24,25.86,0.0,16.98,Stabil
2026-05-10 21:09:01,32.74,22.29,24.66,0.0,4.08,Stabil
2026-05-10 21:14:01,16.48,23.26,17.84,0.0,11.4,Stabil
